ESN_dtw,ESN_lag,ESN_mae,ESN_mse,ESN_smape,Fractal_dtw,Fractal_lag,Fractal_mae,Fractal_mse,Fractal_smape,GRU_dtw,GRU_lag,GRU_mae,GRU_mse,GRU_smape,LSTM_dtw,LSTM_lag,LSTM_mae,LSTM_mse,LSTM_smape,MLP_dtw,MLP_lag,MLP_mae,MLP_mse,MLP_smape,label,time_s
0.10359416864406408,0,0.00910143367946148,0.00013689365005120635,0.03877171128988266,1.2379226186548191,1,0.12033773958683014,0.020618151873350143,0.34216997027397156,58.9432359070622,50,0.6966080069541931,0.7676523923873901,0.973529040813446,56.49520391217327,50,0.6929730772972107,0.7544220089912415,0.97541344165802,56.217706506340775,50,0.6989164352416992,0.7632424235343933,0.986049234867096,mackey_glass,26.24269151687622
0.018908893290969786,0,0.0036922257859259844,3.9983213355299085e-05,0.004367324989289045,0.03966357760154704,1,0.011006968095898628,0.00044564050040207803,0.01350246462970972,2.227979220408363,49,0.10212232917547226,0.02807638980448246,0.12328407168388367,2.4530863332239194,49,0.10995795577764511,0.03163105249404907,0.13071098923683167,2.2029204046835282,50,0.10256101191043854,0.028830820694565773,0.12260403484106064,fast_mg,35.551676511764526
0.11118843519347976,0,0.010741114616394043,0.0001766501081874594,0.012567359954118729,0.2560997698592731,1,0.04135268181562424,0.0026160504203289747,0.050500426441431046,4.897851809485942,50,0.301086962223053,0.12299065291881561,0.35242870450019836,5.442987838451097,50,0.29451820254325867,0.11844782531261444,0.3487028181552887,4.805538731893564,50,0.3057922422885895,0.12584669888019562,0.3594544529914856,medium_mg,89.43421125411987
0.13071530116256724,0,0.011824962683022022,0.00022974799503572285,0.014209859073162079,0.2713207657510104,1,0.03944285213947296,0.0024816833902150393,0.05109764635562897,5.153996702741033,49,0.26251745223999023,0.0996190533041954,0.3122803568840027,6.721963049056405,50,0.25741100311279297,0.09921165555715561,0.3162324130535126,5.545478309651896,50,0.2634294331073761,0.10056672990322113,0.31559476256370544,slow_mg,54.94343400001526
184.68454967597305,0,0.5563077330589294,0.44823750853538513,1.07040536403656,276.07117133445655,1,1.0088019371032715,1.5122737884521484,1.48391592502594,160.0391607822123,50,0.7949665188789368,0.9249470233917236,1.385467290878296,135.76839267093257,50,0.876154899597168,1.1597758531570435,1.3465843200683594,202.73705434712969,38,0.7803669571876526,0.8493223190307617,1.465192437171936,multiscale_sine,21.856263399124146
196.71332345396917,-5,0.6124977469444275,0.5630085468292236,0.9343478679656982,99.21217113228123,-132,0.3294055163860321,0.5396801233291626,0.7059081196784973,32.3754181248892,-14,0.7994508147239685,0.8626967668533325,1.3208364248275757,34.70276751018074,-15,0.8476337194442749,0.973606288433075,1.3923819065093994,26.721987301982967,-14,0.8095779418945312,0.962871789932251,1.2778452634811401,piecewise,21.325825691223145
89.40995848953382,-1,0.5912323594093323,0.5247712731361389,1.1821649074554443,107.54375851394461,0,0.3126012086868286,0.13736014068126678,0.712601900100708,69.22076510296046,49,0.7427575588226318,0.800727903842926,1.3694275617599487,75.05340849420618,49,0.7374326586723328,0.7846794128417969,1.3721203804016113,106.31612885617525,49,0.7312573790550232,0.7750304341316223,1.3813223838806152,randomwalk_sine,23.063530683517456
0.12953957254958487,0,0.01028217002749443,0.00016408842930104584,0.034724920988082886,0.9296371444014594,1,0.10770916193723679,0.014427129179239273,0.3497999608516693,12.749278470392776,10,0.9753355979919434,1.1779937744140625,1.4191794395446777,13.679277058150037,10,0.9914693236351013,1.2257074117660522,1.4190150499343872,13.00168369514703,10,0.9732572436332703,1.168041467666626,1.4135725498199463,am_fm,51.78912973403931
190.0343562884854,0,0.5656220316886902,0.45724838972091675,1.092948317527771,219.49172018824538,1,0.999313235282898,1.3948827981948853,1.542640209197998,354.14349152704085,49,0.7312872409820557,0.6751365661621094,1.6818968057632446,151.77158132363556,50,0.8669026494026184,1.1307876110076904,1.3585431575775146,190.218435670144,34,0.801477313041687,0.9008027911186218,1.4811707735061646,heteroskedastic,47.02316236495972
57.15851549150368,-1,0.2832358181476593,0.10827615112066269,0.6029784679412842,56.26385871536104,-3,0.3285319209098816,0.14457876980304718,0.6692483425140381,56.22888701628845,48,0.3010600507259369,0.12633655965328217,0.6064399480819702,60.2165337086078,48,0.2975221574306488,0.12206221371889114,0.6069440841674805,51.50719260995071,49,0.29866600036621094,0.12547273933887482,0.6091138124465942,composite,25.528008699417114
